type,instance,p_orig,p_new
SRWA,csvs_factoring/n146/factor_seed3358904958101883040_minn128_maxn256_composite.csv,0.7466741280021799,0.74
SRWA,csvs_factoring/n146/factor_seed8975071664002667775_minn128_maxn256_composite.csv,0.4833242449016112,0.55
SRWA,csvs_factoring/n146/factor_seed3844218716737448635_minn128_maxn256_composite.csv,0.09852770712354324,0.096
SRWA,csvs_factoring/n146/factor_seed5193781827104823697_minn128_maxn256_composite.csv,0.7466741280022506,0.75
SRWA,csvs_factoring/n146/factor_seed4036333616503776890_minn128_maxn256_composite.csv,0.26799979746326724,0.32
SRWA,csvs_factoring/n146/factor_seed4781976350427207108_minn128_maxn256_composite.csv,0.11106730991540448,0.124
SRWA,csvs_factoring/n146/factor_seed3276133011702650363_minn128_maxn256_composite.csv,0.5936471840812189,0.66
SRWA,csvs_factoring/n146/factor_seed4058983540373604130_minn128_maxn256_composite.csv,0.08845227176416778,0.098
SRWA,csvs_factoring/n146/factor_seed1440291489233318306_minn128_maxn256_composite.csv,0.0985277071236098,0.109
SRWA,csvs_factoring/n146/factor_seed7097131721234373659_minn128_maxn256_composite.csv,0.02146798541777944,0.016
SRWA,csvs_factoring/n146/factor_seed8811850223749535532_minn128_maxn256_composite.csv,0.45841199462593496,0.41
SRWA,csvs_factoring/n146/factor_seed5418786872277260423_minn128_maxn256_composite.csv,0.7196639907613558,0.7
SRWA,csvs_factoring/n146/factor_seed6407482039203833974_minn128_maxn256_composite.csv,0.8773240853593622,0.9
SRWA,csvs_factoring/n146/factor_seed6130376794532478281_minn128_maxn256_composite.csv,0.9432070819040981,0.97
SRWA,csvs_factoring/n146/factor_seed2578686028862375251_minn128_maxn256_composite.csv,0.4584119946261607,0.46
SRWA,csvs_factoring/n146/factor_seed8317433272424785325_minn128_maxn256_composite.csv,0.783239281044984,0.76
SRWA,csvs_factoring/n146/factor_seed3101904018255215309_minn128_maxn256_composite.csv,0.2593759737168519,0.28
SRWA,csvs_factoring/n146/factor_seed6875843913543011199_minn128_maxn256_composite.csv,0.23985065476599882,0.22
SRWA,csvs_factoring/n146/factor_seed3924672928578402759_minn128_maxn256_composite.csv,0.1127136100200767,0.1
SRWA,csvs_factoring/n146/factor_seed7560604667037574268_minn128_maxn256_composite.csv,0.4372208344385447,0.52
SRWA,csvs_factoring/n146/factor_seed3382895559700741256_minn128_maxn256_composite.csv,0.11947725095690731,0.126
SRWA,csvs_factoring/n146/factor_seed2982912307005450882_minn128_maxn256_composite.csv,0.42320759162045984,0.46
SRWA,csvs_factoring/n146/factor_seed3506515261408426867_minn128_maxn256_composite.csv,0.10782774094515776,0.122
SRWA,csvs_factoring/n146/factor_seed4387742571411731982_minn128_maxn256_composite.csv,0.5654409093836824,0.58
SRWA,csvs_factoring/n146/factor_seed3159482308856066977_minn128_maxn256_composite.csv,0.2481147947596067,0.32
SRWA,csvs_factoring/n146/factor_seed7766064159550827863_minn128_maxn256_composite.csv,0.1454469776917864,0.154
SRWA,csvs_factoring/n146/factor_seed3451321871718893577_minn128_maxn256_composite.csv,0.9654907508916046,0.97
SRWA,csvs_factoring/n146/factor_seed6693062327952490429_minn128_maxn256_composite.csv,0.20840316849109028,0.24
SRWA,csvs_factoring/n146/factor_seed1708947292090439414_minn128_maxn256_composite.csv,0.3420208066160855,0.39
SRWA,csvs_factoring/n146/factor_seed5748459585663058586_minn128_maxn256_composite.csv,0.5547847539734562,0.51
SRWA,csvs_factoring/n146/factor_seed4336985158444443336_minn128_maxn256_composite.csv,0.2917150189634306,0.37
SRWA,csvs_factoring/n146/factor_seed4334240155445824856_minn128_maxn256_composite.csv,0.003360594813783602,0.002
SRWA,csvs_factoring/n146/factor_seed4017489231758302290_minn128_maxn256_composite.csv,0.8445830321280099,0.82
SRWA,csvs_uniform/n60/k3-n60-m256-r4.267-s1005770465.csv,0.7750712508620065,0.83
SRWA,csvs_uniform/n60/k3-n60-m256-r4.267-s2517995271.csv,0.9739140398861363,0.98
SRWA,csvs_uniform/n60/k3-n60-m256-r4.267-s30730906.csv,0.3195700116511867,0.4
SRWA,csvs_uniform/n60/k3-n60-m256-r4.267-s1861416224.csv,0.05208747112162841,0.048
SRWA,csvs_uniform/n60/k3-n60-m256-r4.267-s2471749408.csv,0.1750778394432079,0.18
SRWA,csvs_uniform/n80/k3-n80-m341-r4.262-s4068787433.csv,0.7859248516231376,0.83
SRWA,csvs_uniform/n80/k3-n80-m341-r4.262-s745612291.csv,0.5654409093836119,0.51
SRWA,csvs_uniform/n80/k3-n80-m341-r4.262-s3737246984.csv,0.35183520526310774,0.32
SRWA,csvs_uniform/n80/k3-n80-m341-r4.262-s4171528719.csv,0.9432070819040962,0.94
SRWA,csvs_uniform/n80/k3-n80-m341-r4.262-s3614669737.csv,0.3164169701332678,0.27
SRWA,csvs_uniform/n70/k3-n70-m299-r4.271-s3468756253.csv,0.9609228383576305,0.95
SRWA,csvs_uniform/n70/k3-n70-m299-r4.271-s943869633.csv,0.08438232120999754,0.073
SRWA,csvs_uniform/n70/k3-n70-m299-r4.271-s3927270405.csv,0.16407073081263715,0.22
SRWA,csvs_uniform/n70/k3-n70-m299-r4.271-s3209194817.csv,0.23713108899643728,0.33
SRWA,csvs_uniform/n70/k3-n70-m299-r4.271-s2155785889.csv,0.4797562206752689,0.41
SRWA,csvs_uniform/n50/k3-n50-m213-r4.260-s2183744597.csv,0.18890966687683333,0.15
SRWA,csvs_uniform/n50/k3-n50-m213-r4.260-s625151049.csv,0.48332424490214076,0.53
SRWA,csvs_uniform/n50/k3-n50-m213-r4.260-s2508090091.csv,0.4337080185399488,0.45
SRWA,csvs_uniform/n50/k3-n50-m213-r4.260-s3887936305.csv,0.245342602678366,0.19
SRWA,csvs_uniform/n50/k3-n50-m213-r4.260-s3740215903.csv,0.5298129404733176,0.45
SRWA,csvs_uniform/n90/k3-n90-m384-r4.267-s2207406537.csv,0.22118885932696758,0.29
SRWA,csvs_uniform/n90/k3-n90-m384-r4.267-s439697129.csv,0.30704320211939434,0.32
SRWA,csvs_uniform/n90/k3-n90-m384-r4.267-s2040977115.csv,0.4940409234711624,0.5
SRWA,csvs_uniform/n90/k3-n90-m384-r4.267-s3703799120.csv,0.6719369304079162,0.64
SRWA,csvs_uniform/n90/k3-n90-m384-r4.267-s1599045774.csv,0.08845227176408846,0.089
SRWA,csvs_hidden_solution/gen_n50_m213_k3SAT_seed3163119786.csv,0.2238008364998919,0.28
SRWA,csvs_hidden_solution/gen_n100_m427_k3SAT_seed3831882065.csv,0.8215172526582573,0.79
SRWA,csvs_hidden_solution/gen_n50_m213_k3SAT_seed958682847.csv,0.5011930290624997,0.4
SRWA,csvs_hidden_solution/gen_n100_m427_k3SAT_seed2536146026.csv,0.7964789197309502,0.84
SRWA,csvs_hidden_solution/gen_n50_m213_k3SAT_seed107420370.csv,0.18655724135304333,0.19
SRWA,csvs_hidden_solution/gen_n100_m427_k3SAT_seed127978095.csv,0.9473760308359714,0.94
SRWA,csvs_hidden_solution/gen_n100_m427_k3SAT_seed3181143732.csv,0.15353591470658143,0.18
SRWA,csvs_hidden_solution/gen_n50_m213_k3SAT_seed3184935164.csv,0.6006388641468864,0.71
SRWA,csvs_hidden_solution/gen_n100_m427_k3SAT_seed2906402158.csv,0.32591769609188426,0.4
SRWA,csvs_hidden_solution/gen_n100_m427_k3SAT_seed402418011.csv,0.6351289226890823,0.58
SRWA,csvs_hidden_solution/gen_n100_m427_k3SAT_seed373399427.csv,0.7466741280020012,0.74
SRWA,csvs_hidden_solution/gen_n50_m213_k3SAT_seed599310826.csv,0.7582444863399022,0.78
SRWA,csvs_hidden_solution/gen_n100_m427_k3SAT_seed1812140442.csv,0.4093055481185405,0.45
SRWA,csvs_hidden_solution/gen_n100_m427_k3SAT_seed136505588.csv,0.061857448640643756,0.061
SRWA,csvs_hidden_solution/gen_n50_m213_k3SAT_seed440213416.csv,0.8511127418022683,0.87
SRWA,csvs_hidden_solution/gen_n50_m213_k3SAT_seed2746317214.csv,0.3259176960919223,0.35
SRWA,csvs_hidden_solution/gen_n50_m213_k3SAT_seed1181241944.csv,0.9576175929830935,0.98
SRWA,csvs_hidden_solution/gen_n50_m213_k3SAT_seed1051802513.csv,0.9376425550047903,0.94
SRWA,csvs_hidden_solution/gen_n50_m213_k3SAT_seed478163328.csv,0.960922838357651,0.98
SRWA,csvs_hidden_solution/gen_n100_m427_k3SAT_seed2342331445.csv,0.5618927854643226,0.51
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed23_cnfgen.csv,0.7134871363345203,0.78
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed18_cnfgen.csv,0.17961298661909714,0.28
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed55_cnfgen.csv,0.2738319620460612,0.31
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed95_cnfgen.csv,0.27972928790849905,0.36
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed61_cnfgen.csv,0.3684287818173722,0.3
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed36_cnfgen.csv,0.7723118313779739,0.88
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed20_cnfgen.csv,0.6553729068255334,0.8
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed65_cnfgen.csv,0.7257789822681444,0.71
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed34_cnfgen.csv,0.9111647735476963,0.94
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed72_cnfgen.csv,0.04941287818586057,0.071
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed6_cnfgen.csv,0.5047705191512721,0.6
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed42_cnfgen.csv,0.26510847572132973,0.32
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed84_cnfgen.csv,0.600638864147065,0.67
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed75_cnfgen.csv,0.5618927854644943,0.59
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed26_cnfgen.csv,0.055834371671966684,0.073
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed25_cnfgen.csv,0.49046688097690383,0.55
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed58_cnfgen.csv,0.9316706951335976,0.94
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed93_cnfgen.csv,0.6686479675038095,0.71
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed1_cnfgen.csv,0.9733327304558185,0.99
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed89_cnfgen.csv,0.830982738755477,0.91
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed70_cnfgen.csv,0.8092413863374919,0.77
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed5_cnfgen.csv,0.19367088913173205,0.15
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed74_cnfgen.csv,0.294750412872178,0.29
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed17_cnfgen.csv,0.624872242298624,0.68
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed86_cnfgen.csv,0.5689847264669285,0.59
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed11_cnfgen.csv,0.9870707512993733,0.97
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed69_cnfgen.csv,0.4232075916206761,0.46
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed32_cnfgen.csv,0.7859248516228591,0.77
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed37_cnfgen.csv,0.519083356547985,0.57
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed97_cnfgen.csv,0.9796468654432662,0.99
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed50_cnfgen.csv,0.43020136246938856,0.48
SRWA,csvs_coloring/n50/three_color_gnp_50vertices_p0.092_seed4_cnfgen.csv,0.2264309387696448,0.27
YAL,csvs_YAL/n300/gen_n300_m1280_k3SAT_seed2884700867.csv,0.5155052913356063,0.48
YAL,csvs_YAL/n300/gen_n300_m1280_k3SAT_seed618188454.csv,0.49404092347123346,0.48
YAL,csvs_YAL/n300/gen_n300_m1280_k3SAT_seed4120618906.csv,0.912657499666495,0.89
YAL,csvs_YAL/n300/gen_n300_m1280_k3SAT_seed165578902.csv,0.07667485153880851,0.078
YAL,csvs_YAL/n300/gen_n300_m1280_k3SAT_seed1588610338.csv,0.8378728767710207,0.95
YAL,csvs_YAL/n300/gen_n300_m1280_k3SAT_seed3275703685.csv,0.3355404285857552,0.29
YAL,csvs_YAL/n300/gen_n300_m1280_k3SAT_seed1986560904.csv,0.03629030290265004,0.081
YAL,csvs_YAL/n300/gen_n300_m1280_k3SAT_seed2990260697.csv,0.04054536640399269,0.338
YAL,csvs_YAL/n300/gen_n300_m1280_k3SAT_seed1228722199.csv,0.2709076687316604,0.36
YAL,csvs_YAL/n300/gen_n300_m1280_k3SAT_seed2999771048.csv,0.833299409178304,0.83
SRWA,csvs_different_chances/n100/gen_n100_m427_k3SAT_seed268543587/chance1.0898226674118043e-05.csv,0.0283351021417618,0.031
SRWA,csvs_different_chances/n100/gen_n100_m427_k3SAT_seed268543587/chance5.449113337059022e-06.csv,0.12833822070775097,0.12
SRWA,csvs_different_chances/n100/gen_n100_m427_k3SAT_seed268543587/chance2.724556668529511e-06.csv,0.6977842099296837,0.69
SRWA,csvs_different_chances/n100/gen_n100_m427_k3SAT_seed268543587/chance1.3622783342647554e-06.csv,0.7495925373020985,0.77
SRWA,csvs_different_chances/n100/gen_n100_m427_k3SAT_seed268543587/chance2.1796453348236087e-05.csv,0.5795875090077993,0.59
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1973661108/chance0.0010106367655556552.csv,0.454519607016391,0.42
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1973661108/chance0.0007218834039683252.csv,0.5994104719133702,0.67
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1973661108/chance0.0011550134463493204.csv,0.40737781807063483,0.52
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1973661108/chance3.6094170198416264e-05.csv,0.7551531942862071,0.86
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1973661108/chance0.00043313004238099514.csv,0.6694274823076198,0.7
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1973661108/chance0.0002887533615873301.csv,0.6991645641403934,0.73
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1973661108/chance0.00014437668079366506.csv,0.4151351933497783,0.45
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1973661108/chance7.218834039683253e-05.csv,0.3047734188272848,0.3
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1973661108/chance0.00021656502119049757.csv,0.1797972293525323,0.18
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1973661108/chance0.0005775067231746602.csv,0.8824782304818525,0.91
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1973661108/chance0.0008662600847619903.csv,0.7617785719797873,0.76
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1511168162/chance1.689211292972286e-05.csv,0.31327803716092156,0.29
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1511168162/chance6.756845171889145e-05.csv,0.7750712508619534,0.73
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1511168162/chance0.0001351369034377829.csv,0.34855150190006257,0.26
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1511168162/chance8.44605646486143e-06.csv,0.09852770712375106,0.123
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1511168162/chance3.378422585944572e-05.csv,0.8016417471970192,0.78
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1688066671/chance0.000622438468450698.csv,0.5834374776058797,0.64
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1688066671/chance7.780480855633726e-05.csv,0.6844239119328137,0.67
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1688066671/chance0.0004668288513380235.csv,0.6694274823075168,0.67
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1688066671/chance3.890240427816863e-05.csv,0.08584742391971883,0.092
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1688066671/chance0.00023341442566901174.csv,0.10810226697359364,0.106
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1688066671/chance0.000311219234225349.csv,0.26511411455434475,0.26
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1688066671/chance1.9451202139084314e-05.csv,0.2651141145544157,0.28
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1688066671/chance0.00011670721283450587.csv,0.6541980682914215,0.68
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1688066671/chance0.0005446336598943607.csv,0.10810226697358324,0.101
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1688066671/chance0.00038902404278168626.csv,0.6073534808450225,0.67
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1688066671/chance0.0001556096171126745.csv,0.2780049194560531,0.25
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed625644692/chance1.8566241604332472e-05.csv,0.518874983454737,0.61
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed625644692/chance5.569872481299742e-05.csv,0.7617785719797057,0.85
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed625644692/chance0.0002599273824606546.csv,0.8545658637013359,0.87
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed625644692/chance9.283120802166236e-06.csv,0.18997559869218636,0.22
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed625644692/chance0.00014852993283465978.csv,0.26511411455439904,0.19
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed625644692/chance0.00011139744962599483.csv,0.91022651324553,0.93
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed625644692/chance0.00018566241604332472.csv,0.3186275630732258,0.3
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed625644692/chance7.426496641732989e-05.csv,0.6465033799127948,0.69
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed625644692/chance0.00022279489925198967.csv,0.4307780728360392,0.45
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed625644692/chance3.7132483208664944e-05.csv,0.951215658804218,0.95
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed625644692/chance0.00029705986566931956.csv,0.9671009312404608,0.97
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed4087596402/chance0.00010006436064510977.csv,0.8283758709597655,0.84
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed4087596402/chance0.00025016090161277443.csv,0.27800491945606,0.28
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed4087596402/chance0.00015009654096766466.csv,0.5269687611826047,0.56
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed4087596402/chance0.0004002574425804391.csv,0.2059426982814336,0.26
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed4087596402/chance7.504827048383233e-05.csv,0.5269687611826277,0.51
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed4087596402/chance2.5016090161277443e-05.csv,0.20052725006630168,0.25
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed4087596402/chance0.00020012872129021955.csv,0.17979722935240916,0.12
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed4087596402/chance0.0003001930819353293.csv,0.8391689802871144,0.85
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed4087596402/chance1.2508045080638722e-05.csv,0.9881152891794713,0.99
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed4087596402/chance5.003218032255489e-05.csv,0.5350625377637549,0.56
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed4087596402/chance0.0003502252622578842.csv,0.8949974951326103,0.87
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1502108413/chance1.004169898003682e-05.csv,0.8114061631663594,0.82
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1502108413/chance0.00032133436736117826.csv,0.5188749834547743,0.58
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1502108413/chance8.033359184029456e-05.csv,0.9653747971181832,0.97
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1502108413/chance0.00016066718368058913.csv,0.16055981403287986,0.19
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1502108413/chance6.025019388022091e-05.csv,0.2979614520054213,0.32
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1502108413/chance0.00024100077552088365.csv,0.9977696429944053,1.0
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1502108413/chance0.0002008339796007364.csv,0.8055450721354893,0.83
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1502108413/chance4.016679592014728e-05.csv,0.5350625377637469,0.58
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1502108413/chance0.0002811675714410309.csv,0.5754141204534311,0.58
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1502108413/chance0.00012050038776044183.csv,0.4151351933497721,0.48
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed1502108413/chance2.008339796007364e-05.csv,0.6309692872218966,0.68
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed750534797/chance3.3974190780234035e-05.csv,0.6387594200209243,0.66
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed750534797/chance0.0002717935262418723.csv,0.7484398726885018,0.76
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed750534797/chance0.00023781933546163824.csv,0.6309692872218867,0.77
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed750534797/chance0.00016987095390117018.csv,0.5512367028550651,0.58
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed750534797/chance8.493547695058509e-06.csv,0.9488754829598639,0.95
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed750534797/chance0.00020384514468140422.csv,0.9439402822850345,0.97
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed750534797/chance0.00010192257234070211.csv,0.5269687611826438,0.51
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed750534797/chance6.794838156046807e-05.csv,0.26511411455437095,0.26
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed750534797/chance5.0961286170351056e-05.csv,0.7683140883216214,0.81
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed750534797/chance0.00013589676312093614.csv,0.7935226013008858,0.8
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed750534797/chance1.6987095390117018e-05.csv,0.2344029076026663,0.19
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed3143739854/chance0.000480668535463056.csv,0.8736014535471404,0.9
SRWA,csvs_different_chances/n50/gen_n50_m213_k3SAT_seed3143739854/chance6.0083566932882e-05.csv,0.3920049645271418,0.45
